Brand,Country,Industry,Current_Score,Volatility,Trend_Slope,Inflation_Performance,Cluster_Name
Felix,FI,Food,64.79667748844288,9.484417975581167,2.0023711060200076,3.5958857454772755,👑 The Royals
Miele,FI,Home Appliances & Electronics - Brands,64.59153563095421,7.2350864817374685,3.3547721095368184,,👑 The Royals
Varma,FI,Insurance & Pension,64.54173863987627,11.926205113596954,4.071310147842955,,👑 The Royals
Vandebron,NL,Energy,64.30166519641183,12.795041479393737,1.3671112158576666,,👑 The Royals
Polarbröd,SE,Food,64.1791266682208,13.058347949937836,3.0592341081023444,17.51440528361463,👑 The Royals
Arla,DK,Food,64.15699491276719,12.062900261787895,1.105079786436995,-0.6155302099040334,👑 The Royals
Vattenfall,NL,Energy,63.75393323892931,11.454233926503822,1.12245209523237,,👑 The Royals
Axa,SE,Food,63.74479225041087,5.917717506631188,0.8704780010026946,,👑 The Royals
Den Stolte Hane,NO,Food,63.72865002696939,7.968306833052137,-2.239944431439055,,👑 The Royals
Neste,FI,Fuel,63.693277958079406,6.202343999552921,0.9855808857049967,-4.729816423036212,👑 The Royals
Thon Hotels,NO,Hotels,63.57250545964522,10.638827571815195,1.038526624254634,14.249382705644443,👑 The Royals
"Sygeforsikringen ""danmark",DK,Insurance & Pension,63.50849846852796,8.720984683061555,1.8199662357568038,5.160246795744218,👑 The Royals
Strawberry,NO,Hotels,63.44725761035927,,,,Unclassified
Toyota,FI,Automotive,63.28633253201469,9.06777133483211,1.6327774481178678,1.6881412440075536,👑 The Royals
Pouttu,FI,Food,63.018081547526414,9.136466996707297,1.0151420627668808,-8.251016767027778,👑 The Royals
Apotek Hjärtat,SE,Pharmacies,62.584444534209105,8.180505083140174,0.2365084188285998,2.3941430286231835,👑 The Royals
Olo-apteekki,FI,Pharmacies,62.23963793516481,8.016452929358993,-0.2547843922377382,,👑 The Royals
Kavli,NO,Food,62.13592546279503,10.360083806020137,1.9672443614075825,14.741785048234014,👑 The Royals
Lantmännen,FI,Food,62.03160813394436,13.485445318147995,3.755054107630613,24.78829368478841,👑 The Royals
Spa,NL,Beverage,61.66765078436009,11.210998034849256,-5.327374713045312,,📉 The Sliders
Albert Heijn,NL,Grocery Stores,61.64987013657284,10.175292064094482,0.053622270184252585,,👑 The Royals
Vy Buss,NO,Passenger Transport,61.57567154582125,6.566716530363478,0.26611770771863696,,👑 The Royals
Skellefteå Kraft,SE,Electricity & Heating,61.536098369994804,3.724308939893112,0.5892711397894721,6.663578677003997,👑 The Royals
PUUILO,FI,E-commerce,61.52100220512424,9.730204143408697,-0.44048795588315526,,👑 The Royals
Säästöpankki,FI,Banks,61.47125701985047,8.582028426993945,0.6241366307891967,-10.393500358788998,👑 The Royals
Mestergrønn,NO,Hobby & Leisure,61.425532991268426,3.93762641721182,5.568644682779535,,👑 The Royals
Vipps,NO,Other,61.40045237866889,11.722385034277423,-6.63557990163557,,📉 The Sliders
ANWB Reizen,NL,Travel & Tourism,61.21803546800146,12.15883743615556,-7.1606914242752655,,📉 The Sliders
Vivera,NL,Food,61.17694148091574,11.65756997472831,-4.186040477250351,,📉 The Sliders
